"","Name","Locale","Remarks","Date","Country","Year"
"211","George Herbert Walker Bush","Helsinki","Attended a CSCE Summit Meeting.","July 8–10, 1992","Finland","1992"
"212","William J. Clinton","Helsinki","Summit meeting with Russian President Yeltsin. Also met with President Ahtisaari.","March 20–21, 1997","Finland","1997"
"213","Donald J. Trump","Helsinki","Bilateral meeting with Russian President Vladimir Putin.","July 16, 2018","Finland","2018"
"214","Woodrow Wilson","Paris, Chaumont","Attended Preliminary to the Paris Peace Conference. Departed the U.S. December 4.","December 14–25, 1918","France","1918"
"215","Woodrow Wilson","Paris","Stopover en route to Italy.","December 31, 1918–January 1, 1919","France","1918"
"216","Woodrow Wilson","Paris","Attended Paris Peace Conference. Arrived In the U.S. February 24.","January 7–February 14, 1919","France","1919"
"217","Woodrow Wilson","Paris","Attended Paris Peace Conference. Departed the U.S. March 5.","March 14–June 18, 1919","France","1919"
"218","Woodrow Wilson","Paris","Attended Paris Peace Conference. Returned to U.S. July 8.","June 20–28, 1919","France","1919"
"219","Franklin Delano Roosevelt","Martinique","Conferred with U.S. officials.","December 8, 1940","France","1940"
"220","Franklin Delano Roosevelt","Oran (Algeria)","Disembarked en route to Cairo.","November 20, 1943","France","1943"
"221","Franklin Delano Roosevelt","Dakar (Senegal)","Re-embarked for the U.S.","December 9, 1943","France","1943"
"222","Franklin Delano Roosevelt","Algiers (Algeria)","Briefed U.S. Ambassadors to the United Kingdom, France, and Italy on the Yalta Conference.","February 18, 1945","France","1945"
"223","Dwight D. Eisenhower","Paris","Attended meeting of NATO Heads of Government.","December 14–19, 1957","France","1957"
"224","Dwight D. Eisenhower","Paris","Informal meeting with President De Gaulle and Italian Premier Segni. Addressed North Atlantic Council.","September 2–4, 1959","France","1959"
"225","Dwight D. Eisenhower","Toulon, Paris","Conference with President De Gaulle, British Prime Minister Macmillan, and German Chancellor Adenauer.","December 18–21, 1959","France","1959"
"226","Dwight D. Eisenhower","Paris","Conference with President De Gaulle, British Prime Minister Macmillan, and Soviet Premier Khrushchev.","May 15–19, 1960","France","1960"
"227","John F. Kennedy","Paris","State visit; addressed North Atlantic Council and met with President De Gaulle.","May 31–June 3, 1961","France","1961"
"228","Richard M. Nixon","Paris","Met with President De Gaulle.","February 28–March 2, 1969","France","1969"
"229","Richard M. Nixon","Paris","Attended memorial services for former President De Gaulle.","November 12, 1970","France","1970"
"230","Richard M. Nixon","Paris","Attended memorial services for former President Pompidou. Met afterward with interim President Poher, Italian Prime Minister Leone, British Prime Minister Wilson, West German Chancellor Brandt, Danish Prime Minister Hartling, Soviet President Podgorny, and Japanese Prime Minister Tanaka.","April 5–7, 1974","France","1974"
"231","Gerald R. Ford","Martinique","Met with President Giscard d'Estaing.","December 14–16, 1974","France","1974"
"232","Gerald R. Ford","Rambouillet","Attended Economic Summit meeting of the Heads of State and Government of France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","November 15–17, 1975","France","1975"
"233","James E. Carter","Paris, Normandy, Bayeux, Versailles","Met with President Giscard d'Estaing and Prime Minister Barre.","January 4–6, 1978","France","1978"
"234","James E. Carter","Guadeloupe","Met informally with President Giscard d'Estaing, German Chancellor Schmidt, and British Prime Minister Callaghan.","January 4–9, 1979","France","1979"
"235","Ronald Reagan","Paris","State visit; met with President Mitterrand and Prime Minister Mauroy.","June 2–7, 1982","France","1982"
"236","Ronald Reagan","Versailles","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 5–6, 1982","France","1982"
"237","Ronald Reagan","Normandy","Attended commemorative ceremonies of the 40th anniversary of the Allied landing in Normandy. Also present were Prime Minister Trudeau of Canada, Queen Beatrix of the Netherlands, King Olav V of Norway, King Baudouin I of Belgium, President Mitterrand of France, Queen Elizabeth II of the United Kingdom, and Grand Duke Jean of Luxembourg.","June 6, 1984","France","1984"
"238","Ronald Reagan","Strasbourg","Addressed the European Parliament.","May 8, 1985","France","1985"
"239","George Herbert Walker Bush","Paris","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom. Also attended ceremonies for the Bicentennial of the French Revolution, and met with Ivorian President Houphouet-Boigny.","July 13–17, 1989","France","1989"
"240","George Herbert Walker Bush","St. Martin Island (French West Indies)","Informal meeting with President Mitterrand.","December 16, 1989","France","1989"
"241","George Herbert Walker Bush","Paris","Attended CSCE Summit Meeting and the signing of the Treaty on Conventional Armed Forces in Europe.","November 18–21, 1990","France","1990"
"242","George Herbert Walker Bush","Martinique, West Indies","Discussed the Middle East peace process with President Mitterrand.","March 14, 1991","France","1991"
"243","George Herbert Walker Bush","Rambouillet","Discussed further sanctions against Iraq with President Mitterrand.","July 14, 1991","France","1991"
"244","George Herbert Walker Bush","Paris","Discussed the Bosnian crisis with President Mitterrand.","January 3, 1993","France","1993"
"245","William J. Clinton","Colleville, Paris","Attended D-Day memorial ceremonies. Met with President Mitterrand and senior French officials. Addressed the French National Assembly.","June 6–8, 1994","France","1994"
"246","William J. Clinton","Paris","Attended the signing of the Bosnian peace treaty.","December 14, 1995","France","1995"
"247","William J. Clinton","Lyon, Perouges, Paris","Attended the G-7 Economic Summit Meeting and met with Russian Prime Minister Chernomyrdin and UN Secretary-General Boutrous-Ghali.","June 27–29, 1996","France","1996"
"248","William J. Clinton","Paris","Attended the signing of the NATO-Russia Founding Act.","May 26–27, 1997","France","1997"
"249","William J. Clinton","Paris","Discussed peacekeeping in Kosovo with President Chirac and Prime Minister Jospin.","June 16–17, 1999","France","1999"
"250","George W. Bush","Paris, St. Mere- Eglise, Colleville","Met with President Chirac and delivered a Memorial Day address in Normandy.","May 26–27, 2002","France","2002"
"251","George W. Bush","Evian-les-Bains","Attended the G-8 Economic Summit and met with Chinese President Hu Jintao.","June 1–2, 2003","France","2003"
"252","George W. Bush","Paris, Colleville, Caen, Arromanches","Met with President Chirac and commemorated the 60th anniversary of D-Day.","June 5–6, 2004","France","2004"
"253","George W. Bush","Paris","Met with President Sarkozy. Addressed the OECD. Attended wreath-laying ceremonies at Suresnes and Mont Valerien.","June 13–15, 2008","France","2008"
"254","Barack Obama","Strasbourg","Attended the NATO Summit Meeting.","April 3–4, 2009","France","2009"
"255","Barack Obama","Paris, Caen","Met with President Sarkozy and dedicated the new visitor center at the U.S. Military Cemetery in Normandy.","June 5–7, 2009","France","2009"
"256","Barack Obama","Deauville, Paris","Attended the G-8 Economic Summit.","May 26–27, 2011","France","2011"
"257","Barack Obama","Cannes","Attended the G-20 Summit Meeting.","November 3–4, 2011","France","2011"
"258","Barack Obama","Paris, Omaha Beach, Benouville, Ouistreham","Met with President Francois Hollande. Attended ceremonies commemorating the 70th anniversary of the Normandy landings. Discussed the Ukrainian situation with Russian President Vladimir Putin.","June 5–6, 2014","France","2014"
"259","Barack Obama","Paris","Attended the UN Climate Change Conference.","November 30–December 1, 2015","France","2015"
"260","Donald J. Trump","Paris","Official visit. Met with President Emmanuel Macron. Commemorated Bastille Day and the entry of the United States into World War I.","July 13–14, 2017","France","2017"
"261","Donald J. Trump","Paris","Commemorated the 100th anniversary of the end of the WWI and met with French President Emmanuel Macron.","November 10–11, 2018","France","2018"
"262","Donald J. Trump","Colleville-sur-Mer, Caen","Attended remembrance ceremony on the 75th Anniversary of D-Day.","June 6, 2019","France","2019"
"263","Donald J. Trump","Biarritz","Attended the G–7 Summit Meeting.","August 24–26, 2019","France","2019"
"264","George W. Bush","Tbilisi","Met with President Saakashvili.","May 9–10, 2005","Georgia","2005"
"265","Harry S Truman","Potsdam","Potsdam Conference with British Prime Ministers Churchill and Attlee and Soviet Premier Stalin.","July 16–August 2, 1945","Germany","1945"
"266","Dwight D. Eisenhower","Bonn","Informal meeting with Chancellor Adenauer and President Heuss.","August 26–27, 1959","Germany","1959"
"267","John F. Kennedy","Bonn, Cologne, Frankfurt, Wiesbaden","Met with Chancellor Adenauer and other officials.","June 23–25, 1963","Germany","1963"
"268","John F. Kennedy","West Berlin","Delivered several public addresses.","June 26, 1963","Germany","1963"
"269","Lyndon B. Johnson","Bonn","Attended funeral of Chancellor Adenauer and conversed with various heads of state.","April 23–26, 1967","Germany","1967"
"270","Richard M. Nixon","West Berlin","Addressed the Bundestag on February 26.","February 26–27, 1969","Germany","1969"
"271","Gerald R. Ford","Bonn, Linz","Met with President Scheel and Chancellor Schmidt.","July 26–28, 1975","Germany","1975"
"272","James E. Carter","Bonn, Wiesbaden-Erbenheim Air Base, Frankfurt","State visit; met with President Scheel and Chancellor Schmidt. Addressed U.S. and German military personnel.","July 14–15, 1978","Germany","1978"
"273","James E. Carter","West Berlin","Spoke at the Airlift Memorial.","July 15, 1978","Germany","1978"
"274","James E. Carter","Bonn","Attended Economic Summit Meeting of the Heads of State and Government of France, the Federal Republic of Germany, Canada, Italy, Japan, and the United Kingdom.","July 16–17, 1978","Germany","1978"
"275","Ronald Reagan","Bonn","State visit; met with Chancellor Schmidt and President Carstens; addressed the Bundestag; and attended a meeting of the North Atlantic Council.","June 9–11, 1982","Germany","1982"
"276","Ronald Reagan","West Berlin","Met with Chancellor Schmidt.","June 11, 1982","Germany","1982"
"277","Ronald Reagan","Bonn","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","April 30–May 4, 1985","Germany","1985"
"278","Ronald Reagan","Bonn, Bergen-Belsen, Bitburg, Hambach Castle","State visit; attended ceremonies commemorating 40th anniversary of the end of World War II in Europe.","May 5–6, 1985","Germany","1985"
"279","Ronald Reagan","West Berlin","Attended 750th Anniversary celebrations; met with Chancellor Kohl.","June 11–12, 1987","Germany","1987"
"280","Ronald Reagan","Bonn","Met with Chancellor Kohl.","June 12, 1987","Germany","1987"
"281","George Herbert Walker Bush","Bonn, Mainz","Met with Chancellor Kohl.","May 30–31, 1989","Germany","1989"
"282","George Herbert Walker Bush","Speyer, Ludwigshafen","Met with Chancellor Kohl.","November 18, 1990","Germany","1990"
"283","George Herbert Walker Bush","Munich","Attended an Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","July 5–8, 1992","Germany","1992"
"284","William J. Clinton","Bonn, Oggersheim, Berlin","Met with Chancellor Kohl and German political leaders. Delivered a public address at the Brandenburg Gate and attended deactivation ceremony for the Berlin Brigade.","July 10–12, 1994","Germany","1994"
"285","William J. Clinton","Baumholder","Addressed U.S. military personnel and met with Chancellor Kohl.","December 2, 1995","Germany","1995"
"286","William J. Clinton","Berlin, Potsdam, Frankfurt, Eisenach","Met with Chancellor Kohl; commemorated 50th anniversary of the Berlin Airlift.","May 12–14, 1998","Germany","1998"
"287","William J. Clinton","Frankfurt, Ramstein Air Force Base, Spangdahlem Air Force Base, Bonn, Ingelheim","Addressed U.S. military personnel; met with Chancellor Schroeder; met with Kosovo refugees.","May 4–6, 1999","Germany","1999"
"288","William J. Clinton","Cologne, Bonn","Attended G-8 Economic Summit meeting.","June 17–21, 1999","Germany","1999"
"289","William J. Clinton","Berlin, Aachen","Met with President Rau and Chancellor Schroeder; received Charlemagne Prize, and attended a Third Way Conference.","June 1–3, 2000","Germany","2000"
"290","George W. Bush","Berlin","Met with Chancellor Schroeder and addressed the Bundestag.","May 22–23, 2002","Germany","2002"
"291","George W. Bush","Mainz, Wiesbaden","Met with Chancellor Schroeder and visited U.S. military personnel.","February 23, 2005","Germany","2005"
"292","George W. Bush","Stralsund, Trinwillershagen","Met with Chancellor Merkel.","July 12–14, 2006","Germany","2006"
"293","George W. Bush","Heiligen-damm","Attended the G-8 Summit Meeting. Also met with Chinese President Hu Jintao.","June 5–8, 2007","Germany","2007"
"294","George W. Bush","Meseberg","Met with Chancellor Merkel.","June 10–11, 2008","Germany","2008"
"295","Barack Obama","Baden-Baden, Kehl","Attended a working dinner for NATO leaders.","April 3–4, 2009","Germany","2009"
"296","Barack Obama","Dresden, Weimar, Landstuhl","Met with Chancellor Merkel, visited the Buchenwald concentration camp and visited wounded U.S. military personnel.","June 4–5, 2009","Germany","2009"
"297","Barack Obama","Berlin","Met with President Joachim Gauck and Chancellor Angela Merkel.","June 18–19, 2013","Germany","2013"
"298","Barack Obama","Ramstein Air Force Base","Visited wounded U.S. military personnel.","March 29, 2014","Germany","2014"
"299","Barack Obama","Ramstein Air Force Base","Stopped while returning to Washington.","May 26, 2014","Germany","2014"
"300","Barack Obama","Ramstein Air Force Base","Stopped en route to India.","January 24, 2015","Germany","2015"
"301","Barack Obama","Ramstein Air Force Base","Stopped while returning to Washington.","January 27, 2015","Germany","2015"
"302","Barack Obama","Munich, Krun, Elmau","Attended the G-7 Summit Meeting.","June 7–8, 2015","Germany","2015"
"303","Barack Obama","Ramstein Air Force Base","Stopped en route to Nairobi, Kenya.","July 24, 2015","Germany","2015"
"304","Barack Obama","Ramstein Air Force Base","Stopped en route from Addis Ababa, Ethiopia.","July 28, 2015","Germany","2015"
"305","Barack Obama","Ramstein Air Force Base","Stopped en route to Saudi Arabia.","April 19, 2016","Germany","2016"
"306","Barack Obama","Hannover","Met with Chancellor Angela Merkel, French President Francois Hollande, Italian Prime Minister Matteo Renzi, and British Prime Minister David W. D. Cameron.","April 24–25, 2016","Germany","2016"
"307","Barack Obama","Berlin","Met with Chancellor Angela Merkel, French President Francois Hollande, Spanish Prime Minister Mariano Rajoy, Italian Prime Minister Matteo Renzi, and British Prime Minister Theresa May.","November 16–18, 2016","Germany","2016"
"308","Donald J. Trump","Hamburg","Attended the G–20 Summit.","July 6–8, 2017","Germany","2017"
"309","Harry S Truman","Potsdam","Potsdam Conference with British Prime Ministers Churchill and Attlee and Soviet Premier Stalin.","July 16–August 2, 1945","Germany","1945"
"310","Dwight D. Eisenhower","Bonn","Informal meeting with Chancellor Adenauer and President Heuss.","August 26–27, 1959","Germany","1959"
"311","John F. Kennedy","Bonn, Cologne, Frankfurt, Wiesbaden","Met with Chancellor Adenauer and other officials.","June 23–25, 1963","Germany","1963"
"312","John F. Kennedy","West Berlin","Delivered several public addresses.","June 26, 1963","Germany","1963"
"313","Lyndon B. Johnson","Bonn","Attended funeral of Chancellor Adenauer and conversed with various heads of state.","April 23–26, 1967","Germany","1967"
"314","Richard M. Nixon","West Berlin","Addressed the Bundestag on February 26.","February 26–27, 1969","Germany","1969"
"315","Gerald R. Ford","Bonn, Linz","Met with President Scheel and Chancellor Schmidt.","July 26–28, 1975","Germany","1975"
"316","James E. Carter","Bonn, Wiesbaden-Erbenheim Air Base, Frankfurt","State visit; met with President Scheel and Chancellor Schmidt. Addressed U.S. and German military personnel.","July 14–15, 1978","Germany","1978"
"317","James E. Carter","West Berlin","Spoke at the Airlift Memorial.","July 15, 1978","Germany","1978"
"318","James E. Carter","Bonn","Attended Economic Summit Meeting of the Heads of State and Government of France, the Federal Republic of Germany, Canada, Italy, Japan, and the United Kingdom.","July 16–17, 1978","Germany","1978"
"319","Ronald Reagan","Bonn","State visit; met with Chancellor Schmidt and President Carstens; addressed the Bundestag; and attended a meeting of the North Atlantic Council.","June 9–11, 1982","Germany","1982"
"320","Ronald Reagan","West Berlin","Met with Chancellor Schmidt.","June 11, 1982","Germany","1982"
"321","Ronald Reagan","Bonn","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","April 30–May 4, 1985","Germany","1985"
"322","Ronald Reagan","Bonn, Bergen-Belsen, Bitburg, Hambach Castle","State visit; attended ceremonies commemorating 40th anniversary of the end of World War II in Europe.","May 5–6, 1985","Germany","1985"
"323","Ronald Reagan","West Berlin","Attended 750th Anniversary celebrations; met with Chancellor Kohl.","June 11–12, 1987","Germany","1987"
"324","Ronald Reagan","Bonn","Met with Chancellor Kohl.","June 12, 1987","Germany","1987"
"325","George Herbert Walker Bush","Bonn, Mainz","Met with Chancellor Kohl.","May 30–31, 1989","Germany","1989"
"326","George Herbert Walker Bush","Speyer, Ludwigshafen","Met with Chancellor Kohl.","November 18, 1990","Germany","1990"
"327","George Herbert Walker Bush","Munich","Attended an Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","July 5–8, 1992","Germany","1992"
"328","William J. Clinton","Bonn, Oggersheim, Berlin","Met with Chancellor Kohl and German political leaders. Delivered a public address at the Brandenburg Gate and attended deactivation ceremony for the Berlin Brigade.","July 10–12, 1994","Germany","1994"
"329","William J. Clinton","Baumholder","Addressed U.S. military personnel and met with Chancellor Kohl.","December 2, 1995","Germany","1995"
"330","William J. Clinton","Berlin, Potsdam, Frankfurt, Eisenach","Met with Chancellor Kohl; commemorated 50th anniversary of the Berlin Airlift.","May 12–14, 1998","Germany","1998"
"331","William J. Clinton","Frankfurt, Ramstein Air Force Base, Spangdahlem Air Force Base, Bonn, Ingelheim","Addressed U.S. military personnel; met with Chancellor Schroeder; met with Kosovo refugees.","May 4–6, 1999","Germany","1999"
"332","William J. Clinton","Cologne, Bonn","Attended G-8 Economic Summit meeting.","June 17–21, 1999","Germany","1999"
"333","William J. Clinton","Berlin, Aachen","Met with President Rau and Chancellor Schroeder; received Charlemagne Prize, and attended a Third Way Conference.","June 1–3, 2000","Germany","2000"
"334","George W. Bush","Berlin","Met with Chancellor Schroeder and addressed the Bundestag.","May 22–23, 2002","Germany","2002"
"335","George W. Bush","Mainz, Wiesbaden","Met with Chancellor Schroeder and visited U.S. military personnel.","February 23, 2005","Germany","2005"
"336","George W. Bush","Stralsund, Trinwillershagen","Met with Chancellor Merkel.","July 12–14, 2006","Germany","2006"
"337","George W. Bush","Heiligen-damm","Attended the G-8 Summit Meeting. Also met with Chinese President Hu Jintao.","June 5–8, 2007","Germany","2007"
"338","George W. Bush","Meseberg","Met with Chancellor Merkel.","June 10–11, 2008","Germany","2008"
"339","Barack Obama","Baden-Baden, Kehl","Attended a working dinner for NATO leaders.","April 3–4, 2009","Germany","2009"
"340","Barack Obama","Dresden, Weimar, Landstuhl","Met with Chancellor Merkel, visited the Buchenwald concentration camp and visited wounded U.S. military personnel.","June 4–5, 2009","Germany","2009"
"341","Barack Obama","Berlin","Met with President Joachim Gauck and Chancellor Angela Merkel.","June 18–19, 2013","Germany","2013"
"342","Barack Obama","Ramstein Air Force Base","Visited wounded U.S. military personnel.","March 29, 2014","Germany","2014"
"343","Barack Obama","Ramstein Air Force Base","Stopped while returning to Washington.","May 26, 2014","Germany","2014"
"344","Barack Obama","Ramstein Air Force Base","Stopped en route to India.","January 24, 2015","Germany","2015"
"345","Barack Obama","Ramstein Air Force Base","Stopped while returning to Washington.","January 27, 2015","Germany","2015"
"346","Barack Obama","Munich, Krun, Elmau","Attended the G-7 Summit Meeting.","June 7–8, 2015","Germany","2015"
"347","Barack Obama","Ramstein Air Force Base","Stopped en route to Nairobi, Kenya.","July 24, 2015","Germany","2015"
"348","Barack Obama","Ramstein Air Force Base","Stopped en route from Addis Ababa, Ethiopia.","July 28, 2015","Germany","2015"
"349","Barack Obama","Ramstein Air Force Base","Stopped en route to Saudi Arabia.","April 19, 2016","Germany","2016"
"350","Barack Obama","Hannover","Met with Chancellor Angela Merkel, French President Francois Hollande, Italian Prime Minister Matteo Renzi, and British Prime Minister David W. D. Cameron.","April 24–25, 2016","Germany","2016"
"351","Barack Obama","Berlin","Met with Chancellor Angela Merkel, French President Francois Hollande, Spanish Prime Minister Mariano Rajoy, Italian Prime Minister Matteo Renzi, and British Prime Minister Theresa May.","November 16–18, 2016","Germany","2016"
"352","Donald J. Trump","Hamburg","Attended the G–20 Summit.","July 6–8, 2017","Germany","2017"
"353","William J. Clinton","Accra","Met with President Rawlings; visited a Peace Corps project.","March 23, 1998","Ghana","1998"
"354","George W. Bush","Accra","Met with President Kufuor.","February 19–21, 2008","Ghana","2008"
"355","Barack Obama","Accra, Cape Coast","Met with President Mills and addressed Parliament.","July 10–11, 2009","Ghana","2009"
"356","Dwight D. Eisenhower","Athens","Official visit; met with King Paul, Prime Minister Karamanlis, and addressed Parliament. Traveled by sea from Athens to Tunis.","December 14–15, 1959","Greece","1959"
"357","George Herbert Walker Bush","Athens, Souda Bay","Met with Prime Minister Mitsotakis; addressed U.S. and Greek military personnel.","July 18–20, 1991","Greece","1991"
"358","William J. Clinton","Athens","State visit. Met with Prime Minister Simitis.","November 19–20, 1999","Greece","1999"
"359","Barack Obama","Athens","Met with President Prokopios Pavlopoulis and Prime Minister Alexios Tsipras.","November 15–16, 2016","Greece","2016"
"360","Ronald Reagan","St. George's","Met with Governor General Scoon and Prime Minister Blaize, and with the Prime Ministers of Dominica, Jamaica, St. Lucia, St. Christopher and Nevis, St. Vincent and the Grenadines, Antigua and Barbuda, Trinidad and Tobago, and Barbados. Dedicated a memorial to U.S. servicemen.","February 20, 1986","Grenada","1986"
"361","Lyndon B. Johnson","Guatemala City","Informal visit; met with President Mendez.","July 8, 1968","Guatemala","1968"
"362","William J. Clinton","Guatemala City, Antigua","Attended Central American Summit.","March 10–11, 1999","Guatemala","1999"
"363","George W. Bush","Guatemala City, Santa Cruz Balanya, Iximche","Met with President Berger.","March 11–12, 2007","Guatemala","2007"
"364","Franklin Delano Roosevelt","Cap Haitien","Informal visit en route to vacation in Hawaii.","July 5–6, 1934","Haiti","1934"
"365","William J. Clinton","Port-au-Prince","Attended transition ceremony for United Nations Mission in Haiti.","March 31, 1995","Haiti","1995"
"366","Herbert C. Hoover","Amapala","Good will trip. [Visit made as President-elect.]","November 26, 1928","Honduras","1928"
"367","Lyndon B. Johnson","San Pedro Sula","Informal visit; met with President Lopez Arrelano.","July 8, 1968","Honduras","1968"
"368","Ronald Reagan","San Pedro Sula","Official working visit; met with President Suazo and with Guatemalan President Rios Montt.","December 4, 1982","Honduras","1982"
"369","William J. Clinton","Soto Cano Air Base, Tegucigalpa","Discussed reconstruction aid with President Flores; addressed U.S. military personnel.","March 8–9, 1999","Honduras","1999"
"370","George Herbert Walker Bush","Budapest","Met with Hungarian officials and delivered an address at Karl Marx University.","July 11–13, 1989","Hungary","1989"
"371","William J. Clinton","Budapest","Attended CSCE Summit Meeting.","December 5, 1994","Hungary","1994"
"372","William J. Clinton","Taszar","Met with U.S. military personnel.","January 13, 1996","Hungary","1996"
"373","George W. Bush","Budapest","Met with President Solyom, Prime Minister Gyurcsany and commemorated the 50th anniversary of the Hungarian Uprising.","June 21–22, 2006","Hungary","2006"
"374","Richard M. Nixon","Reykjavik","Met with President Eldjarn and Prime Minister Johanneson, and French President Pompidou.","May 31–June 1, 1973","Iceland","1973"
"375","Ronald Reagan","Reykjavik","Pre-Summit meeting (October 10-11) with Soviet General Secretary Gorbachev. Met with President Finnbogadottir October 10.","October 9–12, 1986","Iceland","1986"
"376","Dwight D. Eisenhower","New Delhi, Agra","Met with President Prasad and Prime Minister Nehru. Addressed Parliament.","December 9–14, 1959","India","1959"
"377","Richard M. Nixon","New Delhi","State visit; met with Acting President Hidayatullah.","July 31–August 1, 1969","India","1969"
"378","James E. Carter","New Delhi, Daulatpur-Nasirabad","Met with President Reddy and Prime Minister Desai. Addressed Parliament.","January 1–3, 1978","India","1978"
"379","William J. Clinton","New Delhi, Agra, Jaipur, Hyderabad, Bombay","Met with President Narayanan; signed Joint Statement on Energy and the Environment; addressed the Indian Parliament.","March 19–25, 2000","India","2000"
"380","George W. Bush","New Delhi, Hyderabad","Met with Prime Minister Singh. Signed nuclear cooperation agreement.","March 1–3, 2006","India","2006"
"381","Barack Obama","Mumbai, New Delhi","Attended U.S.-India Business and Entrepreneurship Summit in Mumbai. Met with Prime Minister Singh and President Patil. Addressed the Indian Parliament.","November 6–9, 2010","India","2010"
"382","Barack Obama","New Delhi","Met with President Pranab Mukherjee and Prime Minister Narendra Modi.","January 24–27, 2015","India","2015"
"383","Donald J. Trump","New Delhi","Met with Prime Minister Narendra Modi.","February 24–25, 2020","India","2020"
"384","Richard M. Nixon","Jakarta","State visit; met with President Suharto.","July 27–28, 1969","Indonesia","1969"
"385","Gerald R. Ford","Jakarta","Official visit; met with President Suharto.","December 5–6, 1975","Indonesia","1975"
"386","Ronald Reagan","Bali","Attended an ASEAN Ministerial meeting; met with Indonesian President Soeharto and Philippine Vice President Laurel.","April 29–May 2, 1986","Indonesia","1986"
"387","William J. Clinton","Jakarta, Bogor","Attended APEC Summit Meeting, followed by State Visit.","November 13–16, 1994","Indonesia","1994"
"388","George W. Bush","Denpasar (Bali)","Met with President Sukarnoputri and Muslim religious leaders.","October 22, 2003","Indonesia","2003"
"389","George W. Bush","Jakarta, Bogor","Met with President Yudhoyono.","November 20, 2006","Indonesia","2006"
"390","Barack Obama","Jakarta","Met with President Yudhoyono.","November 9–10, 2010","Indonesia","2010"
"391","Barack Obama","Bali","Attended the ASEAN and East Asia Summit Meetings.","November 17–20, 2011","Indonesia","2011"
"392","Franklin Delano Roosevelt","Tehran","Attended Tehran Conference with Soviet Premier Stalin and British Prime Minister Churchill.","November 27–December 2, 1943","Iran","1943"
"393","Dwight D. Eisenhower","Tehran","Met with Shah Mohammed Reza Pahlavi and addressed Parliament.","December 14, 1959","Iran","1959"
"394","Richard M. Nixon","Tehran","Official visit; met with Shah Mohammed Reza Pahlavi.","May 30–31, 1972","Iran","1972"
"395","James E. Carter","Tehran","Official visit; met with Shah Mohammed Reza Pahlavi and King Hussein of Jordan.","December 31, 1977–January 1, 1978","Iran","1977"
"396","George W. Bush","Baghdad","Met with members of the Coalition Provisional Authority and the Iraqi Governing Council and addressed U.S. military personnel.","November 27, 2003","Iraq","2003"
"397","George W. Bush","Baghdad","Met with Prime Minister Maliki and addressed U.S. military personnel.","June 13, 2006","Iraq","2006"
"398","George W. Bush","Al-Assad Air Force Base","Met with Gen. Petraeus, Secretary of State Rice, Secretary of Defense Gates, senior U.S. officials, and Iraqi political leaders.","September 3, 2007","Iraq","2007"
"399","George W. Bush","Baghdad","Met with President Talabani and Prime Minister Maliki. Signed Strategic Framework and Security Agreements. Visited U.S. military personnel.","December 14, 2008","Iraq","2008"
"400","Barack Obama","Baghdad","Met with President Talabani and U.S. military personnel.","April 7, 2009","Iraq","2009"
"401","John F. Kennedy","Dublin, Wexford, Cork, Galway, Limerick","Addressed Parliament and visited ancestral home.","June 26–29, 1963","Ireland","1963"
"402","Richard M. Nixon","Limerick, Timahoe, Dublin","State visit; met with Prime Minister Lynch.","October 3–5, 1970","Ireland","1970"
"403","Ronald Reagan","Shannon, Galway, Ballyporeen, Dublin","Met with President Hillery and Prime Minister FitzGerald; visited ancestral home; addressed Parliament.","June 1–4, 1984","Ireland","1984"
"404","William J. Clinton","Dublin","Met with President Robinson and Prime Minister Bruton.","December 1–2, 1995","Ireland","1995"
"405","William J. Clinton","Dublin, Adare, Limerick, Ballybunion","Met with Prime Minister Ahern; delivered several public addresses; played golf.","September 3–5, 1998","Ireland","1998"
"406","William J. Clinton","Dublin, Dundalk","Met with Prime Minister Ahern and delivered several public addresses.","December 12, 2000","Ireland","2000"
"407","George W. Bush","Shannon, Dromoland Castle","Attended U.S.-EU Summit meeting and met with Prime Minister Ahern.","June 25–26, 2004","Ireland","2004"
"408","George W. Bush","Shannon","Met with U.S. Marines who were en route to Iraq.","February 28, 2006","Ireland","2006"
"409","Barack Obama","Dublin, Farmleigh, Moneygall","Met with President McAleese and Prime Minister Kenny. Visited ancestral home.","May 23, 2011","Ireland","2011"
"410","Richard M. Nixon","Tel Aviv, Jerusalem","Met with President Katzir and Prime Minister Rabin.","June 16–17, 1974","Israel","1974"
"411","James E. Carter","Tel Aviv, Jerusalem","State visit; met with President Navon and Prime Minister Begin. Addressed the Knesset.","March 10–13, 1979","Israel","1979"
"412","William J. Clinton","Jerusalem","Met with senior Israeli officials and addressed the Knesset.","October 27–28, 1994","Israel","1994"
