"","Name","Locale","Remarks","Date","Country","Year"
"843","Condoleezza Rice","Sharm el-Sheikh","Accompanied President Bush.","May 17–18, 2008","Egypt","2008"
"844","Condoleezza Rice","Sharm el-Sheikh","Attended a Quartet meeting.","November 8–9, 2008","Egypt","2008"
"845","Hillary Rodham Clinton","Sharm el-Sheikh","Attended the International Conference in Support of the Palestinian Economy for the Reconstruction of Gaza.","March 2–3, 2009","Egypt","2009"
"846","Hillary Rodham Clinton","Cairo","Met with President Mubarak, Foreign Minister Aboul Gheit, and Special Envoy Mitchell.","November 3–4, 2009","Egypt","2009"
"847","Hillary Rodham Clinton","Sharm el-Sheikh","Participated in Israeli-Palestinian negotiations.","September 14–25, 2010","Egypt","2010"
"848","Hillary Rodham Clinton","Cairo","Met with Prime Minister Sharaf, Foreign Minister al-Araby, and civic leaders.","March 15–17, 2011","Egypt","2011"
"849","Hillary Rodham Clinton","Cairo, Alexandria","Met with President Mohammed Morsi, Foreign Minister Mohamed Kamel Amr, Field Marshal Mohamed Tantawi, and Christian leaders. Dedicated the Consulate General at Alexandria.","July 14–16, 2012","Egypt","2012"
"850","Hillary Rodham Clinton","Cairo","Discussed the Gaza Crisis with President Mohammed Morsi and Foreign Minister Mohamed Kamal Amr.","November 21, 2012","Egypt","2012"
"851","John Forbes Kerry","Cairo","Met with Arab League Secretary General Nabil al-Araby, Foreign Minister Mohamed Amr, President Mohammed Morsi, Defense Minister Abdul Fatah al-Sisi, and Egyptian political and business leaders.","March 2–3, 2013","Egypt","2013"
"852","John Forbes Kerry","Cairo","Met with Interim President Adly Mansour, Foreign Minister Nabil Fahmy, and Defense Minister Abdul Fatah al-Sisi.","November 3, 2013","Egypt","2013"
"853","John Forbes Kerry","Cairo","Met with President Abdel Fattah al-Sisi, Foreign Minister Sameh Shoukry, and Arab League Secretary-General Nabil al-Araby.","June 22, 2014","Egypt","2014"
"854","John Forbes Kerry","Cairo","Discussed the Gaza crisis with UN Secretary-General Ban Ki-Moon, Arab League Secretary-General Nabil al-Araby, President Abdel Fattah al-Sisi, and Foreign Minister Sameh Shoukry.","July 21–23, 2014","Egypt","2014"
"855","John Forbes Kerry","Cairo","Discussed the Gaza crisis with UN Secretary-General Ban Ki-Moon, Arab League Secretary-General Nabil al-Araby, President Abdel Fattah al-Sisi, and Foreign Minister Sameh Shoukry.","July 24–25, 2014","Egypt","2014"
"856","John Forbes Kerry","Cairo","Met with President Abdel Fattah al-Sisi, Foreign Minister Sameh Shoukry, and Arab League Secretary-General Nabil al-Araby.","September 13–14, 2014","Egypt","2014"
"857","John Forbes Kerry","Cairo","Attended the Gaza Donors Conference.","October 12–13, 2014","Egypt","2014"
"858","John Forbes Kerry","Sharm el-Sheikh","Attended the Egypt Economic Development Conference.","March 13–15, 2015","Egypt","2015"
"859","John Forbes Kerry","Cairo","Co-chaired U.S.-Egypt Strategic Dialogue.","August 2–3, 2015","Egypt","2015"
"860","John Forbes Kerry","Cairo","Met with President Abdel Fattah al-Sisi and Foreign Minister Sameh Shoukry.","April 20, 2016","Egypt","2016"
"861","John Forbes Kerry","Cairo","Met with President Abdel Fattah al-Sisi.","May 18, 2016","Egypt","2016"
"862","Rex W. Tillerson","Cairo","Met with senior Egyptian officials.","February 12, 2018","Egypt","2018"
"863","Philander Chase Knox","Acajutla, San Salvador","Met with President Araujo and Foreign Minister Castro Ramirez.","March 10–13, 1912","El Salvador","1912"
"864","George Pratt Shultz","San Salvador","Met with President Magana and senior Salvadoran officials.","January 31, 1984","El Salvador","1984"
"865","George Pratt Shultz","San Salvador","Attended the inauguration of President Duarte.","June 1, 1984","El Salvador","1984"
"866","George Pratt Shultz","San Salvador","Met with President Duarte and senior Salvadoran officials.","October 10, 1984","El Salvador","1984"
"867","George Pratt Shultz","San Salvador","Met with President Duarte. Assessed earthquake damage.","October 16, 1986","El Salvador","1986"
"868","George Pratt Shultz","San Salvador","Met with Acting President Castillo Claramount and Salvadoran officials and military officers. Signed an economic assistance agreement.","June 30, 1988","El Salvador","1988"
"869","George Pratt Shultz","San Salvador","Met with Acting President Castillo Claramount.","August 9, 1988","El Salvador","1988"
"870","George Pratt Shultz","San Salvador","Attended OAS General Assembly Meeting.","November 14, 1988","El Salvador","1988"
"871","James Addison Baker","San Salvador","Addressed the Salvadoran National Assembly.","January 16–17, 1992","El Salvador","1992"
"872","Warren Minor Christopher","San Salvador","Address the Legislative Assembly and met with the Presidents of El Salvador, Honduras, and Costa Rica, the Prime Minister of Belize, and the Vice President of Nicaragua.","February 26–27, 1996","El Salvador","1996"
"873","Colin Luther Powell","San Salvador","Accompanied President Bush to meetings with Central American heads of state.","March 24, 2002","El Salvador","2002"
"874","Condoleezza Rice","San Salvador","Met with President Saca.","April 29, 2005","El Salvador","2005"
"875","Hillary Rodham Clinton","San Salvador","Attended the inauguration of President Funes and a ministerial meeting of Pathways to Prosperity in America.","May 31–June 1, 2009","El Salvador","2009"
"876","Michael R. Pompeo","San Salvador","Met with President Nayib Bukele.","July 21, 2019","El Salvador","2019"
"877","James Addison Baker","Tallinn","Met with Chairman Ruutel and Prime Minister Savisaar.","September 14, 1991","Estonia","1991"
"878","Condoleezza Rice","Tallinn","Accompanied President Bush.","November 28, 2006","Estonia","2006"
"879","Hillary Rodham Clinton","Tallinn","Attended a NATO Informal Ministerial Meeting. Met with President Ilves and Foreign Minister Paet.","April 22–23, 2010","Estonia","2010"
"880","William Pierce Rogers","Addis Ababa","Met with Emperor Haile Selassie and senior Ethiopian officials. Addressed the Organization of African Unity February 12.","February 11–13, 1970","Ethiopia","1970"
"881","Warren Minor Christopher","Addis Ababa","Met with Prime Minister Zenawi and discussed plans for an African crisis-response force with OAU officials.","October 9–11, 1996","Ethiopia","1996"
"882","Madeleine Korbel Albright","Addis Ababa","Addressed the Economic Commission of the Organization of African Unity.","December 8–10, 1997","Ethiopia","1997"
"883","Condoleezza Rice","Addis Ababa","Met with leaders of the African Great Lakes States and discussed the situation in Somalia and the Sudan with representatives of the African Union and the UN.","December 5–6, 2007","Ethiopia","2007"
"884","Hillary Rodham Clinton","Addis Ababa","Addressed the African Union Assembly. Met with Chairperson Ping and Ethiopian Prime Minister Zenawi.","June 13–14, 2011","Ethiopia","2011"
"885","John Forbes Kerry","Addis Ababa","Attended the African Union Summit and commemorated the Golden Jubilee of the Organization of African Unity.","May 24–26, 2013","Ethiopia","2013"
"886","John Forbes Kerry","Addis Ababa","Co-convened the 4th Session of the U.S.-AU High Level Dialogue. Met with Somali President Hassan Sheikh Mohamud.","April 30–May 3, 2014","Ethiopia","2014"
"887","Rex W. Tillerson","Addis Ababa","Met with Ethiopian Prime Minister Hailemariam Desalegn, Ethiopian Foreign Minister Workneh Gebeyehu, and African Union Commission Chairperson Moussa Faki Mahamat.","March 6–8, 2018","Ethiopia","2018"
"888","Michael R. Pompeo","Addis Ababa","Met with Prime Minister Abiy Ahmed and President Sahle-Work Zewde. Also met with African Union Commission Chairperson Moussa Faki Mahamat.","February 17–19, 2020","Ethiopia","2020"
"889","George Pratt Shultz","Nadi","Met with Prime Minister Mara.","July 16, 1985","Fiji","1985"
"890","David Dean Rusk","Helsinki","Met with Foreign Minister Karjalainin.","May 31–June 1, 1966","Finland","1966"
"891","William Pierce Rogers","Helsinki","Attended the first phase of the Conference on Security and Cooperation in Europe.","July 1–3, 1973","Finland","1973"
"892","Henry A. (Heinz Alfred) Kissinger","Helsinki","Accompanied President Ford to the signing ceremony for the Final Act of the Conference on Security and Cooperation in Europe.","July 30–August 1, 1975","Finland","1975"
"893","George Pratt Shultz","Helsinki","Attended ceremonies commemorating 10th anniversary of the Final Act of the Conference on Security and Cooperation in Europe. Met with Soviet Foreign Minister Shevardnadze.","July 29–August 1, 1985","Finland","1985"
"894","George Pratt Shultz","Helsinki","Met with President Koivisto and Foreign Minister Vayrynen while en route to Moscow.","November 3, 1985","Finland","1985"
"895","George Pratt Shultz","Helsinki","Met with President Koivisto en route to Moscow.","April 12–13, 1987","Finland","1987"
"896","George Pratt Shultz","Helsinki","Met with President Koivisto en route to Moscow.","October 20–21, 1987","Finland","1987"
"897","George Pratt Shultz","Helsinki","Met with President Koivisto en route to Moscow.","February 20–21, 1988","Finland","1988"
"898","George Pratt Shultz","Helsinki","Met with President Loivisto en route to Moscow.","April 20, 1988","Finland","1988"
"899","George Pratt Shultz","Helsinki","Accompanied President Reagan to meetings with President Koivisto en route to Moscow.","May 27–29, 1988","Finland","1988"
"900","James Addison Baker","Helsinki","Overnight stop en route to Moscow.","May 9–10, 1989","Finland","1989"
"901","James Addison Baker","Helsinki","Accompanied President Bush to summit meeting with Soviet President Gorbachev.","September 8–10, 1990","Finland","1990"
"902","James Addison Baker","Helsinki","Accompanied President Bush to the CSCE Summit Meeting.","July 8–10, 1992","Finland","1992"
"903","Warren Minor Christopher","Helsinki","Met with Russian Foreign Minister Primakov and Ukrainian President Kuchma.","February 8–11, 1996","Finland","1996"
"904","Madeleine Korbel Albright","Helsinki","Accompanied President Clinton to a summit meeting with Russian President Yeltsin.","March 20–21, 1997","Finland","1997"
"905","Madeleine Korbel Albright","Helsinki","Met with the Russian Foreign and Defense Ministers to discuss a Russian role in peacekeeping in Kosovo; met with President Atisaari.","June 17–18, 1999","Finland","1999"
"906","Hillary Rodham Clinton","Helsinki","Met with President Sauli Niinisto, Prime Minister Jyrki Katainen, and Foreign Minister Erkki Tuomioja. Signed General Security of Information Agreement. Attended Climate Clean Air Coalition Event.","June 27–28, 2012","Finland","2012"
"907","Michael R. Pompeo","Helsinki","Accompanied President Trump to his meeting with Russian President Vladimir Putin. Also met with Russian Foreign Minister Sergey Lavrov and Finnish Foreign Minister Timo Soini, to discuss bilateral and regional issues.","July 16, 2018","Finland","2018"
"908","Michael R. Pompeo","Rovaniemi","Participated in the Eleventh Ministerial Meeting of the Arctic Council and delivered a speech on U.S. Arctic policy.","May 6, 2019","Finland","2019"
"909","John Milton Hay","Paris","Vacation trip for health reasons.","May 22–June 1, 1905","France","1905"
"910","Robert Lansing","Paris","Accompanied President Wilson to the Paris Peace Conference. Left U.S December 4, 1918; returned July 22, 1919.","December 14, 1918–July 14, 1919","France","1918"
"911","Charles Evans Hughes","Paris","Visited with French international lawyers.","July 28–31, 1924","France","1924"
"912","Frank Billings Kellogg","Paris","Negotiated and signed the Treaty on the Renunciation of War (Kellogg-Briand Pact). Left U.S. August 19.","August 24–29, 1928","France","1928"
"913","Frank Billings Kellogg","Cherbourg","Embarked for the U.S.; returned September 10.","September 4, 1928","France","1928"
"914","Henry Lewis Stimson","Paris","Met with Premier Laval and Finance Minister Flandin.","July 15–19, 1931","France","1931"
"915","Cordell Hull","Algiers (Algeria)","Met with Generals Eisenhower and De Gaulle.","October 15, 1943","France","1943"
"916","James Francis Byrnes","Paris","Attended Second Session of the Council of Foreign Ministers.","April 25–May 18, 1946","France","1946"
"917","James Francis Byrnes","Paris","Attended second part of the Second Session of the Council of Foreign Ministers.","June 13–July 13, 1946","France","1946"
"918","James Francis Byrnes","Paris","Attended Paris Peace Conference.","July 28–October 15, 1946","France","1946"
"919","George Catlett Marshall","Paris","Met with President Auriol and senior officials. Laid a wreath at the tomb of France's Unknown Soldier. Left U.S. March 5.","March 6–7, 1947","France","1947"
"920","George Catlett Marshall","Paris","Attended Third Session of the UN General Assembly. Returned to U.S. October 9-11 to confer with President Truman on the Berlin Crisis.","September 20–October 9, 1948","France","1948"
"921","George Catlett Marshall","Paris","Attended Third Session of the UN General Assembly.","October 12–16, 1948","France","1948"
"922","George Catlett Marshall","Paris","Attended Third Session of the UN General Assembly.","October 19–29, 1948","France","1948"
"923","George Catlett Marshall","Paris","Attended Third Session of the UN General Assembly.","November 1–22, 1948","France","1948"
"924","Dean Gooderham Acheson","Paris","Attended 6th Session of the Council of Foreign Ministers.","May 20–June 20, 1949","France","1949"
"925","Dean Gooderham Acheson","Paris","Met with the Foreign Ministers of the United Kingdom, France, Belgium, Luxembourg, and the Netherlands.","November 9–11, 1949","France","1949"
"926","Dean Gooderham Acheson","Paris","Conferred with French; left U.S. May 6.","May 7–8, 1950","France","1950"
"927","Dean Gooderham Acheson","Paris","Attended Sixth Session of the UN General Assembly. Left U.S. October 25.","November 6–23, 1951","France","1951"
"928","Dean Gooderham Acheson","Paris","Signed Protocol to the North Atlantic Treaty regarding the European Defense Community, May 28.","May 26–29, 1952","France","1952"
"929","Dean Gooderham Acheson","Dakar (Senegal)","Overnight stop en route to Brazil.","July 1, 1952","France","1952"
"930","Dean Gooderham Acheson","Paris","Attended a Ministerial Meeting of the North Atlantic Council.","December 15–20, 1952","France","1952"
"931","John Foster Dulles","Paris","Met with senior French officials and with representatives of NATO and the Organization for European Economic Cooperation.","February 1–3, 1953","France","1953"
"932","John Foster Dulles","Paris","Attended 11th meeting of the North Atlantic Council.","April 21–26, 1953","France","1953"
"933","John Foster Dulles","Paris","Attended 12th NATO Foreign Ministers Meeting.","December 12–16, 1953","France","1953"
"934","John Foster Dulles","Paris","Discussed the situation in Indochina with Foreign Minister Bidault.","April 13–14, 1954","France","1954"
"935","John Foster Dulles","Paris","Attended meeting of the North Atlantic Council.","April 21–24, 1954","France","1954"
"936","John Foster Dulles","Paris","Conferred with Prime Ministers Eden and Mendes-France on the Genera Conference.","July 13–15, 1954","France","1954"
"937","John Foster Dulles","Paris","Attended NATO, Four- and Nine-Power Conferences. Returned to U.S. October 25.","October 20–23, 1954","France","1954"
"938","John Foster Dulles","Paris","Attended North Atlantic Council meeting.","December 15–19, 1954","France","1954"
"939","John Foster Dulles","Paris","Attended North Atlantic Council meeting.","May 7–12, 1955","France","1955"
"940","John Foster Dulles","Paris","Met with the French and British Foreign Ministers and attended a North Atlantic Council meeting.","July 14–16, 1955","France","1955"
"941","John Foster Dulles","Paris","Attended working group and NATO Ministerial Meetings.","October 23–26, 1955","France","1955"
"942","John Foster Dulles","Paris","Attended NATO Ministerial Meeting.","December 14–17, 1955","France","1955"
"943","John Foster Dulles","Paris","Attended NATO Ministerial Meeting.","May 2–7, 1956","France","1956"
"944","John Foster Dulles","Paris","Attended NATO Ministerial Meeting.","December 9–14, 1956","France","1956"
"945","John Foster Dulles","Paris","Met with Prime Minister Mollet and attended meeting of U.S. Chiefs of Mission to European countries.","May 5–6, 1957","France","1957"
"946","John Foster Dulles","Paris","Accompanied President Eisenhower to meeting of NATO Heads of Government.","December 13–20, 1957","France","1957"
"947","John Foster Dulles","Paris","Attended the opening session of a conference of U.S. Chiefs of Mission to European countries.","May 8–10, 1958","France","1958"
"948","John Foster Dulles","Paris","Discussed nuclear armaments with President De Gaulle.","July 4–6, 1958","France","1958"
"949","John Foster Dulles","Paris","Attended NATO Ministerial Meeting and a Big Four Ministers meeting.","December 13–18, 1958","France","1958"
"950","John Foster Dulles","Paris","Met with President De Gaulle, Foreign Minister Couve de Murville, and NATO Secretary General Spaak.","February 6–7, 1959","France","1959"
"951","Christian Archibald Herter","Paris","Attended a meeting of Western Foreign Ministers.","April 27–May 2, 1959","France","1959"
"952","Christian Archibald Herter","Paris","Accompanied President Eisenhower to meeting of the North Atlantic Council.","September 2–4, 1959","France","1959"
"953","Christian Archibald Herter","Paris","Attended NATO Ministerial Meeting and a meeting of the Heads of State and Government of France, Germany, the United Kingdom, and the United States.","December 13–22, 1959","France","1959"
"954","Christian Archibald Herter","Paris","Accompanied President Eisenhower to a meeting of the Chiefs of State and Heads of Government of France, the Soviet Union, the United Kingdom, and the United States. Also attended a meeting of NATO's Permanent Council.","May 13–21, 1960","France","1960"
"955","Christian Archibald Herter","Paris","Attended NATO Ministerial Meeting.","December 14–18, 1960","France","1960"
"956","David Dean Rusk","Paris","Accompanied President Kennedy on State visit.","May 31–June 3, 1961","France","1961"
"957","David Dean Rusk","Paris","Attended a Foreign Ministers meeting on Berlin and met with the NATO Permanent Council.","August 4–9, 1961","France","1961"
"958","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 10–16, 1961","France","1961"
"959","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","June 19–21, 1962","France","1962"
"960","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 11–16, 1962","France","1962"
"961","David Dean Rusk","Paris","Attended SEATO Ministerial Council Meeting.","April 7–11, 1963","France","1963"
"962","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 13–18, 1963","France","1963"
"963","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 13–17, 1964","France","1964"
"964","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 13–16, 1965","France","1965"
"965","David Dean Rusk","Paris","Attended NATO Ministerial Meeting.","December 13–16, 1966","France","1966"
"966","William Pierce Rogers","Paris","Accompanied President Nixon.","February 28–March 2, 1969","France","1969"
"967","William Pierce Rogers","Paris","Met with President Pompidou, senior French officials, and with the U.S. delegation to the Vietnam Peace Talks.","December 6–8, 1969","France","1969"
"968","William Pierce Rogers","Paris","Accompanied President Nixon to the funeral of former President De Gaulle.","November 11–12, 1970","France","1970"
"969","William Pierce Rogers","Paris","Met with Foreign Minister Schuman.","April 29, 1971","France","1971"
"970","William Pierce Rogers","Paris","Attended the 10th OECD Ministerial Council Meeting.","June 6–9, 1971","France","1971"
"971","William Pierce Rogers","Paris","Signed the Vietnam Peace Agreement.","January 26–27, 1973","France","1973"
"972","William Pierce Rogers","Paris","Attended the International Conference on Vietnam.","February 24–March 3, 1973","France","1973"
"973","Henry A. (Heinz Alfred) Kissinger","Paris","Discussed the Vietnam situation with North Vietnamese negotiator Tho.","December 19–20, 1973","France","1973"
"974","Henry A. (Heinz Alfred) Kissinger","Paris","Briefed President Giscard d'Estaing and Foreign Minister Sauvagnargues on the U.S.-Soviet summit.","July 4–5, 1974","France","1974"
"975","Henry A. (Heinz Alfred) Kissinger","Martinique","Joined President Ford for a meeting with French President Giscard d'Estaing.","December 14–16, 1974","France","1974"
"976","Henry A. (Heinz Alfred) Kissinger","Paris","Met with Foreign Minister Sauvagnargues.","February 18–19, 1975","France","1975"
"977","Henry A. (Heinz Alfred) Kissinger","Paris","Attended the IEA and OECD Ministerial Meetings.","May 26–28, 1975","France","1975"
"978","Henry A. (Heinz Alfred) Kissinger","Paris","Met with President Giscard d'Estaing and Foreign Minister Sauvagnargues.","July 9–10, 1975","France","1975"
"979","Henry A. (Heinz Alfred) Kissinger","Rambouillet","Accompanied President Ford to the first Economic Summit Meeting of the Heads of State and Government of France, West Germany, the United Kingdom, Italy, and Japan.","November 15–17, 1975","France","1975"
"980","Henry A. (Heinz Alfred) Kissinger","Paris","Attended the Conference on International Economic Cooperation.","December 15–17, 1975","France","1975"
"981","Henry A. (Heinz Alfred) Kissinger","Paris","Met with President Giscard d'Estaing and with President Houphouet-Boigny of the Ivory Coast.","May 7, 1976","France","1976"
"982","Henry A. (Heinz Alfred) Kissinger","Paris","Attended an OECD Meeting.","June 20–22, 1976","France","1976"
"983","Henry A. (Heinz Alfred) Kissinger","Deauville","Vacation.","August 9–11, 1976","France","1976"
"984","Henry A. (Heinz Alfred) Kissinger","Paris","Discussed southern African issues with President Giscard d'Estaing and senior French officials.","September 7, 1976","France","1976"
"985","Cyrus Roberts Vance","Paris","Briefed President Giscard d'Estaing and senior French officials on meetings with Soviet leaders.","April 1, 1977","France","1977"
"986","Cyrus Roberts Vance","Paris","Attended the Conference on International Economic Development.","May 28–June 2, 1977","France","1977"
"987","Cyrus Roberts Vance","Paris","Attended OECD Ministerial Meeting.","June 22–24, 1977","France","1977"
"988","Cyrus Roberts Vance","Paris","Accompanied President Carter.","January 4–6, 1978","France","1978"
"989","Cyrus Roberts Vance","Paris","Attended OECD Ministerial Meeting.","June 13–15, 1978","France","1978"
"990","Cyrus Roberts Vance","Paris","Discussed international responses to the Iranian hostage crisis with President Giscard d'Estaing and Foreign Minister Francois-Poncet. Also met with Japanese Foreign Minister Okita.","December 10–11, 1979","France","1979"
"991","Cyrus Roberts Vance","Paris","Discussed responses to Soviet invasion of Afghanistan with Foreign Minister Francois-Poncet.","February 21, 1980","France","1980"
"992","Alexander Meigs Haig","Paris","Met with President Giscard d'Estaing and Foreign Minister Francois-Poncet.","April 11, 1981","France","1981"
"993","Alexander Meigs Haig","Paris, Versailles","Accompanied President Reagan on State visit and to Economic Summit Meeting.","June 2–7, 1982","France","1982"
"994","George Pratt Shultz","Paris","Met with President Mitterrand and senior French officials.","December 14–15, 1982","France","1982"
"995","George Pratt Shultz","Paris","Attended OECD meeting.","May 8–11, 1983","France","1983"
"996","George Pratt Shultz","Paris","Attended NATO Ministerial Meeting.","June 9–10, 1983","France","1983"
"997","George Pratt Shultz","Paris","Discussed the Lebanon situation with the Foreign Ministers of France, Italy, and the United Kingdom.","October 26–27, 1983","France","1983"
"998","George Pratt Shultz","Strasbourg","Accompanied President Reagan to the European Parliament.","May 8, 1985","France","1985"
"999","George Pratt Shultz","Paris","Met with President Mitterrand and Prime Minister Chirac.","March 21, 1986","France","1986"
"1000","George Pratt Shultz","Paris","Met with Prime Minister Chirac.","November 6, 1986","France","1986"
"1001","George Pratt Shultz","Paris","Attended the Conference on the Prohibition of Chemical Weapons.","January 6–8, 1989","France","1989"
"1002","James Addison Baker","Paris","Met with Prime Minister Rocard and Foreign Minister Dumas.","February 17, 1989","France","1989"
"1003","James Addison Baker","Paris","Accompanied President Bush to the Economic Summit Meeting.","July 13–17, 1989","France","1989"
"1004","James Addison Baker","Paris","Attended the opening of the International Conference on Cambodia. Also met with Soviet Foreign Minister Shevardnadze.","July 28–31, 1989","France","1989"
"1005","James Addison Baker","St. Martin Island (West Indies)","Accompanied President Bush to an informal meeting with President Mitterrand.","December 16, 1989","France","1989"
"1006","James Addison Baker","Paris","Attended Two-Plus-Four Foreign Ministers Meeting.","July 16–18, 1990","France","1990"
"1007","James Addison Baker","Paris","Met with President Mitterrand.","November 10, 1990","France","1990"
"1008","James Addison Baker","Paris","Discussed the Persian Gulf crisis with the Foreign Ministers of Romania, Finland, France, the United Kingdom, and the Soviet Union. Joined President Bush for meetings with Soviet President Gorbachev, CSCE Summit meeting, and signing of the Conventional Forces in Europe Treaty.","November 17–21, 1990","France","1990"
"1009","James Addison Baker","Paris","Discussed the Persian Gulf crisis with President Mitterrand and Foreign Minister Dumas.","January 8, 1991","France","1991"
"1010","James Addison Baker","Paris","Attended the signing of the Cambodian Comprehensive Peace Accords and discussed normalization of relations with Vietnamese Foreign Minister Ngueyn.","October 22–23, 1991","France","1991"
"1011","Warren Minor Christopher","Paris","Discussed the Bosnian crisis with senior French officials.","May 3–4, 1993","France","1993"
"1012","Warren Minor Christopher","Paris","Met with Chinese Foreign Minister Qian and discussed the Bosnian conflict with senior French officials.","January 23–24, 1994","France","1994"
"1013","Warren Minor Christopher","Caen, Colleville, Paris","Accompanied President Clinton to D-Day memorial ceremonies and to meetings with President Mitterrand and senior French officials. Addressed OECD ministerial meeting.","June 6–8, 1994","France","1994"
"1014","Warren Minor Christopher","Paris","Met with French Foreign Minister Juppe.","March 21–22, 1995","France","1995"
"1015","Warren Minor Christopher","Paris","Attended the signing of the Bosnian Peace Treaty.","December 14, 1995","France","1995"
"1016","Warren Minor Christopher","Lyon","Attended the G-7 Economic Summit Meeting.","June 26–29, 1996","France","1996"
"1017","Warren Minor Christopher","Paris","Discussed the Northern Iraq and Bosnian crises with President Chirac and Foreign Minister de Charette.","September 5, 1996","France","1996"
"1018","Warren Minor Christopher","Paris","Attended a meeting of the Steering Board of the Bosnian Peace Implementation Council.","November 12–14, 1996","France","1996"
"1019","Madeleine Korbel Albright","Paris","Met with President Chirac, Prime Minister Juppe, and Foreign Minister de Charette.","February 17–18, 1997","France","1997"
"1020","Madeleine Korbel Albright","Paris","Accompanied President Clinton to the signing of the NATO-Russia Founding Act.","May 26–27, 1997","France","1997"
"1021","Madeleine Korbel Albright","Paris","Met with Israeli Prime Minister Netanyahu.","December 5–6, 1997","France","1997"
"1022","Madeleine Korbel Albright","Paris","Met with Israeli Prime Minister Netanyahu and French Foreign Minister Vedrine.","December 6–8, 1997","France","1997"
"1023","Madeleine Korbel Albright","Paris","Met with President Chirac and with Israeli Prime Minister Netanyahu.","December 17–18, 1997","France","1997"
"1024","Madeleine Korbel Albright","Paris","Discussed the Iraq crisis with Foreign Minister Vedrine.","January 29–30, 1998","France","1998"
"1025","Madeleine Korbel Albright","Paris","Discussed the Kosovo crisis with Foreign Minister Vedrine.","March 8, 1998","France","1998"
"1026","Madeleine Korbel Albright","Lyon, Paris","Announced opening of the American Presence Post in Lyon. Met with President Chirac and senior French officials.","December 9–10, 1998","France","1998"
"1027","Madeleine Korbel Albright","Paris, Rambouillet","Met with Contact Group Foreign Ministers and with the delegations to the Kosovo peace conference.","February 13–14, 1999","France","1999"
"1028","Madeleine Korbel Albright","Paris, Rambouillet","Attended the Kosovo peace conference.","February 20–23, 1999","France","1999"
"1029","Madeleine Korbel Albright","Paris","Met with senior French officials.","June 19–20, 1999","France","1999"
"1030","Madeleine Korbel Albright","Paris","Met with Foreign Minister Vedrine.","December 17–18, 1999","France","1999"
"1031","Madeleine Korbel Albright","Bordeaux, Paris","Opened American Presence Post at Bordeaux; attended U.S.-EU Ministerial Meeting and met with President Chirac.","October 1–3, 2000","France","2000"
"1032","Madeleine Korbel Albright","Paris","Discussed the Israeli-Palestinian conflict with Prime Minister Barak and Chairman Arafat.","October 3–5, 2000","France","2000"
"1033","Madeleine Korbel Albright","Paris","Met with Foreign Minister Vedrine and other European Foreign Ministers.","January 11–13, 2001","France","2001"
"1034","Colin Luther Powell","Paris","Met with Contact Group Foreign Ministers, with Russian Foreign Minister Ivanov and with President Chirac.","April 11–12, 2001","France","2001"
"1035","Colin Luther Powell","Paris","Met with Saudi Arabian Crown Prince Abdullah.","June 29, 2001","France","2001"
"1036","Colin Luther Powell","Paris","Met with President Chirac and Foreign Minister Vedrine.","December 11, 2001","France","2001"
"1037","Colin Luther Powell","Paris","Accompanied President Bush.","May 26–28, 2002","France","2002"
"1038","Colin Luther Powell","Paris","Attended a G-8 Foreign Ministers’ Meeting.","May 22–23, 2003","France","2003"
"1039","Colin Luther Powell","Paris, Colleville, Arromanches, Caen","Accompanied President Bush.","June 5–6, 2004","France","2004"
"1040","Condoleezza Rice","Paris","Met with President Chirac and Foreign Minister Barnier; addressed the Institute of Political Sciences.","February 8–9, 2005","France","2005"
"1041","Condoleezza Rice","Paris","Met with President Chirac and Foreign Minister Douste-Blazy.","October 13–14, 2005","France","2005"
"1042","Condoleezza Rice","Paris","Headed the U.S. delegation to the International Conference for Support to Lebanon.","January 24–25, 2006","France","2006"
"1043","Condoleezza Rice","Paris","Met with President Chirac.","March 31, 2006","France","2006"
"1044","Condoleezza Rice","Paris","Attended a P5 + 1 ministerial meeting.","July 12, 2006","France","2006"
"1045","Condoleezza Rice","Paris","Met with President Sarkozy, Foreign Minister Kouchner, and Lebanese Prime Minister Siniora.  Attended a meeting of the International Contact Group on Sudan/Darfur.","June 24–26, 2007","France","2007"
"1046","Condoleezza Rice","Paris","Attended a Quartet meeting and the Palestinian Donors’ Conference.  Met with President Sarkozy.","December 16–18, 2007","France","2007"
"1047","Condoleezza Rice","Paris","Attended the International Support Conference for Afghanistan.","June 11–14, 2008","France","2008"
"1048","Condoleezza Rice","Paris, Toulon","Discussed EU peace plan for Russia and Georgia.","August 14–15, 2008","France","2008"
"1049","Hillary Rodham Clinton","Strasbourg","Accompanied President Obama to the NATO Summit Meeting.","April 3–4, 2009","France","2009"
"1050","Hillary Rodham Clinton","Paris","Met with President Sarkozy and Foreign Minister Kouchner. Delivered an address on European security.","January 29, 2010","France","2010"
"1051","Hillary Rodham Clinton","Paris","Attended a G-8 Foreign Ministers’ Meeting.","March 14–15, 2011","France","2011"
